43,안양본동물의료센터,,hospital,동물병원,031-396-8275,경기도,안양시,동안구,관양동 900-9,경기 안양시 동안구 시민대로 370,"",37.39551206,126.97152295,0.00,0,{전화예약가능},,0,1235172404,,true,2025-11-17 07:36:32.584947,2025-11-13 10:50:00.848153,2025-11-17 07:36:32.584949,41,41170,41173000
44,웰케어동물병원,,hospital,동물병원,02-337-7575,서울특별시,마포구,서교동,447-2,서울 마포구 월드컵북로 27,"",37.55684510,126.91909199,0.00,0,{전화예약가능},,0,8430046,,true,2025-11-17 07:36:32.585694,2025-11-13 10:50:01.649843,2025-11-17 07:36:32.585697,11,11440,46130113
45,헬릭스동물메디컬센터 서초본원,,hospital,동물병원,02-2135-9119,서울특별시,서초구,반포동,19-1,서울 서초구 신반포로 162,"",37.50488862,127.00228004,0.00,0,{전화예약가능},,0,916295968,,true,2025-11-17 07:36:32.586981,2025-11-13 10:50:02.451298,2025-11-17 07:36:32.586984,11,11650,11650107
46,반려동물병원,,hospital,동물병원,031-941-7578,경기도,파주시,조리읍,봉일천리 181-7,경기 파주시 조리읍 내산길 9,"",37.74720013,126.80561459,0.00,0,{전화예약가능},,0,381119456,,true,2025-11-17 07:36:32.587707,2025-11-13 10:50:03.253092,2025-11-17 07:36:32.587710,41,41480,41480262
47,반려담동물병원,,hospital,동물병원,02-6207-0772,서울특별시,강남구,역삼동,690-11,서울 강남구 봉은사로44길 61,"",37.50576312,127.04240621,0.00,0,{전화예약가능},,0,1878916312,,true,2025-11-17 07:36:32.588399,2025-11-13 10:50:04.056586,2025-11-17 07:36:32.588402,11,11680,11680101
48,무양반려동물병원,,hospital,동물병원,054-532-7512,경상북도,상주시,무양동,55-22,경북 상주시 삼백로 105,"",36.41863100,128.15512961,0.00,0,{전화예약가능},,0,1522263031,,true,2025-11-17 07:36:32.589134,2025-11-13 10:50:04.880129,2025-11-17 07:36:32.589136,47,47250,47250109
50,수송반려동물병원,,hospital,동물병원,063-463-5575,전북특별자치도,군산시,수송동,858-7,전북특별자치도 군산시 수송로 208,"",35.96376182,126.71828623,0.00,0,{전화예약가능},,0,14881827,,true,2025-11-17 07:36:32.591174,2025-11-13 10:50:06.506327,2025-11-17 07:36:32.591177,52,52130,52130141
51,라온반려동물병원,,hospital,동물병원,041-675-4675,충청남도,태안군,태안읍,동문리 342-3,충남 태안군 태안읍 중앙로 144,"",36.75036207,126.30398773,0.00,0,{전화예약가능},,0,1560968132,,true,2025-11-17 07:36:32.592105,2025-11-13 10:50:07.333919,2025-11-17 07:36:32.592108,44,44825,44825250
52,전남대학교 동물병원 반려동물건강검진센터,,hospital,동물병원,"",광주광역시,북구,용봉동,300,광주 북구 용봉로 77,"",35.17441379,126.90116809,0.00,0,{},,0,1097879025,,true,2025-11-17 07:36:32.593450,2025-11-13 10:50:08.165321,2025-11-17 07:36:32.593455,29,31200,29200141
53,남천동물병원,,hospital,동물병원,051-626-8182,부산광역시,수영구,남천동,556-11,부산 수영구 황령대로 505,"",35.13761692,129.10890310,0.00,0,{전화예약가능},,0,16863295,,true,2025-11-17 07:36:32.594464,2025-11-13 10:50:08.989765,2025-11-17 07:36:32.594468,26,26500,43150104
55,에이블동물병원,,hospital,동물병원,02-2058-1882,서울특별시,서초구,양재동,4-14,서울 서초구 바우뫼로 211,"",37.48091901,127.04166971,0.00,0,{전화예약가능},,0,19476837,,true,2025-11-17 07:36:32.597244,2025-11-13 10:50:10.602734,2025-11-17 07:36:32.597249,11,11650,11650102
56,페토피아동물병원,,hospital,동물병원,02-414-0075,서울특별시,송파구,방이동,124-8,서울 송파구 오금로 203,"",37.50814043,127.11666233,0.00,0,{전화예약가능},,0,16054794,,true,2025-11-17 07:36:32.598500,2025-11-13 10:50:11.423362,2025-11-17 07:36:32.598503,11,11710,11710111
57,퍼피즌동물병원,,hospital,동물병원,02-541-2651,서울특별시,강남구,삼성동,34-3,서울 강남구 선릉로 636,"",37.51322233,127.04298503,0.00,0,{전화예약가능},,0,14624117,,true,2025-11-17 07:36:32.599452,2025-11-13 10:50:12.228228,2025-11-17 07:36:32.599455,11,11680,30110118
58,송파마리동물병원,,hospital,동물병원,02-415-7555,서울특별시,송파구,방이동,115-4,서울 송파구 오금로 185,"",37.50907556,127.11493670,0.00,0,{전화예약가능},,0,1268211718,,true,2025-11-17 07:36:32.600214,2025-11-13 10:50:13.054112,2025-11-17 07:36:32.600217,11,11710,11710111
